,Algorithm,Num_Terminals,Wirelength,Num Steiner Points,CPU Time
589,flute,36.0,50377.0,34.0,0.000684
590,flute,16.0,29137.0,14.0,9.9e-05
591,flute,49.0,50773.0,47.0,0.002045
592,flute,14.0,20055.0,12.0,0.000105
593,flute,57.0,54940.0,55.0,0.001323
594,flute,94.0,70763.0,92.0,0.003542
595,flute,119.0,81727.0,117.0,0.004913
596,flute,46.0,50345.0,44.0,0.000953
597,flute,8.0,21660.0,6.0,1e-06
598,flute,86.0,64697.0,84.0,0.004826
599,flute,15.0,26069.0,13.0,5.5e-05
600,flute,48.0,52785.0,46.0,0.001148
601,flute,15.0,30745.0,13.0,9.4e-05
602,flute,118.0,80175.0,116.0,0.007439
603,flute,112.0,75046.0,110.0,0.005008
604,flute,88.0,70409.0,86.0,0.004484
605,flute,13.0,23802.0,11.0,3.9e-05
606,flute,93.0,70357.0,91.0,0.004217
607,flute,84.0,71923.0,82.0,0.003039
608,flute,21.0,34485.0,19.0,0.000241
609,flute,62.0,59546.0,60.0,0.002075
610,flute,84.0,72327.0,82.0,0.002397
611,flute,105.0,78965.0,103.0,0.003832
612,flute,61.0,59841.0,59.0,0.002483
613,flute,20.0,35006.0,18.0,0.000297
614,flute,14.0,24893.0,12.0,6.1e-05
615,flute,53.0,52788.0,51.0,0.000924
616,flute,91.0,69354.0,89.0,0.005411
617,flute,90.0,70695.0,88.0,0.005173
618,flute,46.0,48772.0,44.0,0.00117
619,flute,31.0,37301.0,29.0,0.000399
620,flute,83.0,68965.0,81.0,0.00398
621,flute,116.0,79515.0,114.0,0.008077
622,flute,69.0,66498.0,67.0,0.002801
623,flute,84.0,67989.0,82.0,0.003401
624,flute,51.0,51044.0,49.0,0.00159
625,flute,71.0,67743.0,69.0,0.003678
626,flute,21.0,34636.0,19.0,0.000356
627,flute,81.0,67496.0,79.0,0.004889
628,flute,74.0,68166.0,72.0,0.002299
629,flute,78.0,67192.0,76.0,0.005282
630,flute,25.0,38741.0,23.0,0.000657
631,flute,64.0,62615.0,62.0,0.001766
632,flute,39.0,46145.0,37.0,0.000872
633,flute,115.0,80631.0,113.0,0.007005
634,flute,115.0,80071.0,113.0,0.006923
635,flute,114.0,76689.0,112.0,0.007961
636,flute,85.0,68162.0,83.0,0.004918
637,flute,22.0,34022.0,20.0,0.000355
638,flute,18.0,34188.0,16.0,0.00014
639,flute,114.0,78808.0,112.0,0.005593
640,flute,97.0,71601.0,95.0,0.004616
641,flute,81.0,66819.0,79.0,0.003137
642,flute,16.0,35790.0,14.0,8.9e-05
643,flute,66.0,62342.0,64.0,0.003282
644,flute,84.0,69701.0,82.0,0.003483
645,flute,12.0,25259.0,10.0,2.4e-05
646,flute,89.0,70889.0,87.0,0.003465
647,flute,112.0,81811.0,110.0,0.003712
648,flute,37.0,43395.0,35.0,0.000667
649,flute,115.0,77383.0,113.0,0.005008
650,flute,32.0,41374.0,30.0,0.000621
651,flute,62.0,56055.0,60.0,0.004234
652,flute,16.0,27451.0,14.0,0.000115
653,flute,87.0,68497.0,85.0,0.004669
654,flute,17.0,35748.0,15.0,0.000139
655,flute,92.0,68736.0,90.0,0.007857
656,flute,30.0,39966.0,28.0,0.00098
657,flute,20.0,31749.0,18.0,0.000349
658,flute,24.0,31056.0,22.0,0.000448
659,flute,112.0,76467.0,110.0,0.007149
660,flute,92.0,68786.0,90.0,0.005344
661,flute,39.0,48054.0,37.0,0.001562
662,flute,88.0,73048.0,86.0,0.003668
663,flute,9.0,21744.0,7.0,2e-06
664,flute,86.0,68459.0,84.0,0.004659
665,flute,11.0,24195.0,9.0,1.3e-05
666,flute,50.0,53712.0,48.0,0.001061
667,flute,20.0,39253.0,18.0,0.000287
668,flute,87.0,66706.0,85.0,0.005147
669,flute,94.0,75768.0,92.0,0.004348
670,flute,48.0,53506.0,46.0,0.001488
671,flute,47.0,53088.0,45.0,0.001641
672,flute,41.0,47116.0,39.0,0.00121
673,flute,32.0,42179.0,30.0,0.000817
674,flute,29.0,43751.0,27.0,0.000636
675,flute,43.0,48021.0,41.0,0.000816
676,flute,108.0,73183.0,106.0,0.008436
677,flute,120.0,84804.0,118.0,0.009738
678,flute,94.0,71713.0,92.0,0.002824
679,flute,26.0,38839.0,24.0,0.001488
680,flute,8.0,13433.0,6.0,2e-06
681,flute,56.0,53589.0,54.0,0.001211
682,flute,63.0,63759.0,61.0,0.003145
683,flute,117.0,79775.0,115.0,0.005054
684,flute,33.0,41410.0,31.0,0.000839
685,flute,61.0,56099.0,59.0,0.001388
686,flute,30.0,39964.0,28.0,0.00097
687,flute,108.0,73352.0,106.0,0.006936
688,flute,116.0,79342.0,114.0,0.009828
689,flute,26.0,36377.0,24.0,0.000445
690,flute,50.0,54917.0,48.0,0.005215
691,flute,116.0,82626.0,114.0,0.006203
692,flute,69.0,62697.0,67.0,0.003184
693,flute,97.0,77005.0,95.0,0.008146
694,flute,94.0,73780.0,92.0,0.002662
695,flute,70.0,61670.0,68.0,0.003656
696,flute,34.0,46492.0,32.0,0.00107
697,flute,11.0,24407.0,9.0,9e-06
698,flute,67.0,62644.0,65.0,0.002999
