,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
28314,12,25130.0,10.0,1.9e-05,25130.0,10.0,0.000336,25130.0,10.0,0.412747
28315,12,28221.0,10.0,1.6e-05,28221.0,10.0,0.000224,28221.0,10.0,0.280731
28316,12,23985.0,10.0,2.3e-05,23985.0,10.0,0.000276,23985.0,10.0,0.192168
28317,12,23491.0,10.0,1.7e-05,23491.0,10.0,0.000162,23491.0,10.0,0.398425
28318,12,25909.0,10.0,2.1e-05,25525.0,10.0,0.000297,25525.0,10.0,0.39041
28319,12,23851.0,10.0,7e-06,23851.0,10.0,0.000176,23851.0,10.0,0.209681
28320,12,25611.0,10.0,1.8e-05,25611.0,10.0,0.000135,25611.0,10.0,0.444988
28321,12,26808.0,10.0,7e-06,26808.0,10.0,0.000147,26808.0,10.0,0.265098
28322,12,30928.0,10.0,6e-05,30928.0,10.0,0.000212,30928.0,10.0,0.276193
28323,12,20830.0,10.0,1.9e-05,20830.0,10.0,0.000295,20830.0,10.0,0.306236
28324,12,25321.0,10.0,1.8e-05,25321.0,10.0,0.000222,25321.0,10.0,0.258475
28325,12,22211.0,10.0,2.2e-05,22211.0,10.0,0.000187,22211.0,10.0,0.18445
28326,12,25308.0,10.0,1.7e-05,25308.0,10.0,0.000189,25308.0,10.0,0.368831
28327,12,24752.0,10.0,2.1e-05,24752.0,10.0,0.000194,24752.0,10.0,0.344037
28328,12,25067.0,10.0,2e-06,25067.0,10.0,0.000326,25067.0,10.0,0.254686
28329,12,23831.0,10.0,1.3e-05,23831.0,10.0,0.000207,23831.0,10.0,0.235735
28330,12,25366.0,10.0,2.3e-05,25366.0,10.0,0.000293,25366.0,10.0,0.22704
28331,12,26454.0,10.0,1.7e-05,26454.0,10.0,0.000215,26454.0,10.0,0.377803
28332,12,23263.0,10.0,2e-05,23263.0,10.0,0.000228,23263.0,10.0,0.352224
28333,12,29352.0,10.0,2.1e-05,29352.0,10.0,0.000225,29352.0,10.0,0.367761
28334,12,25795.0,10.0,2e-06,25795.0,10.0,0.000239,25795.0,10.0,0.259411
28335,12,23827.0,10.0,1.5e-05,23827.0,10.0,0.000209,23827.0,10.0,0.184342
